collapsT,breakupT,R0,rr0,theta,psi0,Rstart,Rdrop,tauM
-1,-1,160,20,10,0.0375,163.0,21.66777639409272,1.5045876652002179e6
-1,500000,160,20,20,0.075,166.0,34.125683088975045,411446.1081938679
-1,525000,160,20,30,0.1125,169.0,43.88193799780909,181135.21636456958
-1,950000,160,20,40,0.15,172.0,51.74768197704066,98905.61372799514
-1,475000,160,30,10,0.05,164.0,28.43612129471278,2.362980279357571e6
-1,1125000,160,30,20,0.125,170.0,44.72251925456904,623088.6390622567
-1,900000,160,30,30,0.175,174.0,57.50482888627425,273085.2887200766
-1,1700000,160,30,40,0.2375,179.0,67.80980752813217,148756.51643027636
-1,900000,160,40,10,0.075,166.0,34.49123288544269,3.2356007202963037e6
-1,1875000,160,40,20,0.1625,173.0,54.17837404768679,835829.1428000943
-1,-1,160,40,30,0.2375,179.0,69.66340801526492,365012.22003908525
-1,-1,160,40,40,0.3125,185.0,82.14605935227107,198613.3477816878
-1,3500000,160,60,10,0.125,170.0,45.21596593278218,4.9549416660883855e6
-1,-1,160,60,20,0.25,180.0,70.99587474318128,1.2600667090939812e6
-1,-1,160,60,30,0.3625,189.0,91.28604311753682,548843.1548506165
-1,-1,160,80,10,0.1625,173.0,54.78199783245768,6.682711387845048e6
-1,-1,160,80,20,0.3375,187.0,86.00636530039866,1.684268707991614e6
-1,-1,160,80,30,0.4875,199.0,110.58532891430208,732662.691696522
-1,-1,180,20,10,0.03333333333333333,183.0,22.524934075041312,1.5045876652002179e6
-1,375000,180,20,20,0.06666666666666667,186.0,35.49064020887272,411446.1081938679
-1,625000,180,20,30,0.1,189.0,45.64030735977222,181135.21636456958
-1,1100000,180,20,40,0.13333333333333333,192.0,53.820182453011924,98905.61372799514
-1,400000,180,30,10,0.044444444444444446,184.0,29.585130703384806,2.362980279357571e6
-1,1075000,180,30,20,0.1111111111111111,190.0,46.51160410210945,623088.6390622567
-1,975000,180,30,30,0.15555555555555556,194.0,59.80762562147976,273085.2887200766
-1,1850000,180,30,40,0.2111111111111111,199.0,70.52522438024721,148756.51643027636
-1,900000,180,40,10,0.06666666666666667,186.0,35.86783818512349,3.2356007202963037e6
-1,2050000,180,40,20,0.14444444444444443,193.0,56.347537442073865,835829.1428000943
-1,2125000,180,40,30,0.2111111111111111,199.0,72.45281991078475,365012.22003908525
-1,-1,180,40,40,0.2777777777777778,205.0,85.4351539406148,198613.3477816878
-1,3200000,180,60,10,0.1111111111111111,190.0,47.023110045058324,4.9549416660883855e6
-1,-1,180,60,20,0.2222222222222222,200.0,73.83904004381792,1.2600667090939812e6
-1,3525000,180,60,30,0.32222222222222224,209.0,94.94102695887733,548843.1548506165
-1,7400000,180,80,10,0.14444444444444443,193.0,56.974527244965124,6.682711387845048e6
-1,-1,180,80,20,0.3,207.0,89.45017112572214,1.684268707991614e6
-1,-1,180,80,30,0.43333333333333335,219.0,115.01320540549173,732662.691696522
-1,-1,200,20,10,0.03,203.0,23.336658593542527,1.5045876652002179e6
-1,425000,200,20,20,0.06,206.0,36.75915803963069,411446.1081938679
-1,500000,200,20,30,0.09,209.0,47.2715873538548,181135.21636456958
-1,975000,200,20,40,0.12,212.0,55.74379201279061,98905.61372799514
-1,475000,200,30,10,0.04,204.0,30.636820184862547,2.362980279357571e6
-1,1075000,200,30,20,0.1,210.0,48.175345055849924,623088.6390622567
-1,950000,200,30,30,0.14,214.0,61.94563138177374,273085.2887200766
-1,2025000,200,30,40,0.19,219.0,73.04581694275454,148756.51643027636
-1,875000,200,40,10,0.06,206.0,37.150892915263405,3.2356007202963037e6
-1,1950000,200,40,20,0.13,213.0,58.36192815533188,835829.1428000943
-1,2250000,200,40,30,0.19,219.0,75.04260937769831,365012.22003908525
-1,-1,200,40,40,0.25,225.0,88.48919261099516,198613.3477816878
-1,3400000,200,60,10,0.1,210.0,48.706377191854976,4.9549416660883855e6
-1,-1,200,60,20,0.2,220.0,76.47814160982473,1.2600667090939812e6
-1,-1,200,60,30,0.29,229.0,98.33446342884801,548843.1548506165
-1,-1,200,80,10,0.13,213.0,59.013985816214806,6.682711387845048e6
-1,-1,200,80,20,0.27,227.0,92.6474219031455,1.684268707991614e6
-1,-1,200,80,30,0.39,239.0,119.12439593647672,732662.691696522
