major,minor,outerR,beta,dH,clusters,R,rr,kbt,theta,time
146.0,13.5,173.0,0.08463949843260188,4.568186731756077,1,160,20,0.0,40,25000
145.0,14.0,173.0,0.0880503144654088,4.566011381856721,1,160,20,0.0,40,50000
145.0,14.0,173.0,0.0880503144654088,4.572516160973277,1,160,20,0.0,40,75000
145.0,14.0,173.0,0.0880503144654088,4.573801470807698,1,160,20,0.0,40,100000
145.0,14.0,173.0,0.0880503144654088,4.573676402540789,1,160,20,0.0,40,125000
145.0,14.0,173.0,0.0880503144654088,4.5797138312751535,1,160,20,0.0,40,150000
145.0,14.0,173.0,0.0880503144654088,4.5843716390763545,1,160,20,0.0,40,175000
145.0,14.0,173.0,0.0880503144654088,4.58916697568969,1,160,20,0.0,40,200000
145.0,14.0,173.0,0.0880503144654088,4.59296598355995,1,160,20,0.0,40,225000
145.0,14.0,173.0,0.0880503144654088,4.595643895001645,1,160,20,0.0,40,250000
145.0,14.0,173.0,0.0880503144654088,4.597661221074639,1,160,20,0.0,40,275000
145.0,14.0,173.0,0.0880503144654088,4.60031542792949,1,160,20,0.0,40,300000
145.0,14.0,173.0,0.0880503144654088,4.602665441947451,1,160,20,0.0,40,325000
145.0,14.0,173.0,0.0880503144654088,4.605171697916201,1,160,20,0.0,40,350000
145.0,14.0,173.0,0.0880503144654088,4.6079089538680025,1,160,20,0.0,40,375000
145.0,14.0,173.0,0.0880503144654088,4.610282010703341,1,160,20,0.0,40,400000
145.0,14.0,173.0,0.0880503144654088,4.612170754686673,1,160,20,0.0,40,425000
145.0,14.0,173.0,0.0880503144654088,4.613987889090082,1,160,20,0.0,40,450000
145.0,14.0,173.0,0.0880503144654088,4.616068657392593,1,160,20,0.0,40,475000
145.0,14.0,173.0,0.0880503144654088,4.616338641812268,1,160,20,0.0,40,500000
145.0,14.0,173.0,0.0880503144654088,4.618871013546743,1,160,20,0.0,40,525000
145.0,14.0,173.0,0.0880503144654088,4.625027763353327,1,160,20,0.0,40,550000
145.0,14.0,173.0,0.0880503144654088,4.628057227269861,1,160,20,0.0,40,575000
145.0,14.0,173.0,0.0880503144654088,4.629594926933413,1,160,20,0.0,40,600000
145.0,14.0,173.0,0.0880503144654088,4.636080810402891,1,160,20,0.0,40,625000
145.0,14.0,173.0,0.0880503144654088,4.647475863937956,1,160,20,0.0,40,650000
145.0,14.0,173.0,0.0880503144654088,4.663376763141603,1,160,20,0.0,40,675000
145.0,14.0,173.0,0.0880503144654088,4.692122378665512,1,160,20,0.0,40,700000
145.0,14.0,173.0,0.0880503144654088,4.72270541567111,1,160,20,0.0,40,725000
145.0,14.0,173.0,0.0880503144654088,4.753817951108142,1,160,20,0.0,40,750000
145.0,14.0,173.0,0.0880503144654088,4.795293962645392,1,160,20,0.0,40,775000
145.0,14.0,173.0,0.0880503144654088,4.854603998074613,1,160,20,0.0,40,800000
145.0,14.0,173.0,0.0880503144654088,4.927305165974147,1,160,20,0.0,40,825000
145.0,14.0,173.0,0.0880503144654088,5.005273382189777,1,160,20,0.0,40,850000
145.0,14.0,173.0,0.0880503144654088,5.087818927046779,1,160,20,0.0,40,875000
145.0,14.0,173.0,0.0880503144654088,5.162759446416166,1,160,20,0.0,40,900000
145.0,14.0,173.0,0.0880503144654088,5.272788007969816,1,160,20,0.0,40,925000
145.0,14.0,173.0,0.0880503144654088,5.5102843469076035,1,160,20,0.0,40,950000
145.0,14.0,173.0,0.0880503144654088,6.2515108096451035,1,160,20,0.0,40,975000
145.0,14.5,173.5,0.09090909090909091,6.502380635047719,1,160,20,0.0,40,1000000
145.0,15.0,174.0,0.09375,6.59828982505824,1,160,20,0.0,40,1025000
145.0,15.0,174.0,0.09375,6.713815793848408,1,160,20,0.0,40,1050000
145.0,15.0,174.0,0.09375,6.817923069516083,1,160,20,0.0,40,1075000
145.0,15.0,174.0,0.09375,6.932006595545808,1,160,20,0.0,40,1100000
145.0,15.0,174.0,0.09375,7.027299618757708,1,160,20,0.0,40,1125000
145.0,15.0,174.0,0.09375,7.1097090776027905,1,160,20,0.0,40,1150000
145.0,15.0,174.0,0.09375,7.164053070804611,1,160,20,0.0,40,1175000
145.0,15.0,174.0,0.09375,7.208154702346817,4,160,20,0.0,40,1200000
145.0,15.0,174.0,0.09375,7.238311491068847,2,160,20,0.0,40,1225000
145.0,15.0,174.0,0.09375,7.2283765087068454,2,160,20,0.0,40,1250000
145.0,15.0,174.0,0.09375,7.212956778610894,2,160,20,0.0,40,1275000
145.0,15.0,174.0,0.09375,7.198019716981131,2,160,20,0.0,40,1300000
145.0,15.0,174.0,0.09375,7.272883456712806,2,160,20,0.0,40,1325000
145.0,15.0,174.0,0.09375,7.319506263824492,2,160,20,0.0,40,1350000
145.0,15.0,174.5,0.09375,7.372879935579059,2,160,20,0.0,40,1375000
145.0,15.0,174.5,0.09375,7.424293111156439,3,160,20,0.0,40,1400000
145.0,15.0,175.0,0.09375,7.5646415285672415,3,160,20,0.0,40,1425000
145.0,15.0,175.0,0.09375,7.7669180752787215,3,160,20,0.0,40,1450000
145.5,14.0,174.5,0.0877742946708464,8.013477955227575,3,160,20,0.0,40,1475000
145.5,13.5,174.0,0.08490566037735849,8.35548862586363,3,160,20,0.0,40,1500000
146.5,11.5,173.0,0.07278481012658228,8.850585418641332,3,160,20,0.0,40,1525000
147.5,9.5,172.0,0.06050955414012739,9.433726212166613,3,160,20,0.0,40,1550000
149.0,6.5,170.5,0.04180064308681672,10.06990380045577,3,160,20,0.0,40,1575000
0.0,0.0,15.5,NaN,10.697397215311417,3,160,20,0.0,40,1600000
0.0,0.0,16.0,NaN,11.299386570406165,3,160,20,0.0,40,1625000
0.0,0.0,16.5,NaN,11.6346652172983,3,160,20,0.0,40,1650000
0.0,0.0,17.0,NaN,11.805231212299626,3,160,20,0.0,40,1675000
0.0,0.0,18.0,NaN,11.891882433603493,3,160,20,0.0,40,1700000
0.0,0.0,19.0,NaN,11.918204768009474,3,160,20,0.0,40,1725000
0.0,0.0,19.5,NaN,11.923087854006363,3,160,20,0.0,40,1750000
0.0,0.0,19.5,NaN,11.89339748130003,3,160,20,0.0,40,1775000
0.0,0.0,19.5,NaN,11.949424061243501,3,160,20,0.0,40,1800000
0.0,0.0,19.5,NaN,12.086855030411039,3,160,20,0.0,40,1825000
0.0,0.0,19.5,NaN,12.115803431327585,3,160,20,0.0,40,1850000
0.0,0.0,19.5,NaN,12.133674078068003,3,160,20,0.0,40,1875000
0.0,0.0,19.5,NaN,12.162194200403158,3,160,20,0.0,40,1900000
0.0,0.0,19.5,NaN,12.163360304387867,3,160,20,0.0,40,1925000
0.0,0.0,19.5,NaN,12.163521594475759,3,160,20,0.0,40,1950000
0.0,0.0,19.5,NaN,12.165133632225386,3,160,20,0.0,40,1975000
0.0,0.0,19.5,NaN,12.16497324865148,3,160,20,0.0,40,2000000
0.0,0.0,19.5,NaN,12.164785063130145,3,160,20,0.0,40,2025000
0.0,0.0,19.5,NaN,12.164582779955943,3,160,20,0.0,40,2050000
0.0,0.0,19.5,NaN,12.16436332608081,3,160,20,0.0,40,2075000
0.0,0.0,19.5,NaN,12.164118077401472,3,160,20,0.0,40,2100000
0.0,0.0,19.5,NaN,12.163839822293767,3,160,20,0.0,40,2125000
0.0,0.0,19.5,NaN,12.225494339093485,3,160,20,0.0,40,2150000
0.0,0.0,19.5,NaN,12.78716914875235,3,160,20,0.0,40,2175000
0.0,0.0,19.5,NaN,13.693123744623861,3,160,20,0.0,40,2200000
0.0,0.0,19.5,NaN,14.19164999187737,3,160,20,0.0,40,2225000
0.0,0.0,19.5,NaN,14.509376719693556,3,160,20,0.0,40,2250000
0.0,0.0,19.5,NaN,14.676248371575559,3,160,20,0.0,40,2275000
0.0,0.0,19.5,NaN,14.863438531328946,3,160,20,0.0,40,2300000
0.0,0.0,19.5,NaN,14.91057910683384,3,160,20,0.0,40,2325000
0.0,0.0,19.5,NaN,14.966815365659878,3,160,20,0.0,40,2350000
0.0,0.0,19.5,NaN,14.973506361601348,3,160,20,0.0,40,2375000
0.0,0.0,19.5,NaN,14.975001547474118,3,160,20,0.0,40,2400000
0.0,0.0,19.5,NaN,14.973700920230035,3,160,20,0.0,40,2425000
0.0,0.0,19.5,NaN,14.974119493012903,3,160,20,0.0,40,2450000
0.0,0.0,19.5,NaN,14.974510683994042,3,160,20,0.0,40,2475000
0.0,0.0,19.5,NaN,14.974901009797565,3,160,20,0.0,40,2500000
138.0,21.0,180.0,0.1320754716981132,6.912888900450814,1,160,30,0.0,40,25000
138.0,21.0,180.0,0.1320754716981132,6.951160003959397,1,160,30,0.0,40,50000
