major,minor,outerR,beta,dH,clusters,R,rr,kbt,theta,time,substrate
0.0,0.0,0.0,NaN,-0.005999999999999998,1,80,40,0.0,20,0,uniform
63.0,15.5,94.0,0.19745222929936307,2.3009487638342367,1,80,40,0.0,20,25000,uniform
62.0,15.5,93.0,0.2,2.315315987489497,1,80,40,0.0,20,50000,uniform
61.0,15.5,92.0,0.20261437908496732,2.3309570171591876,1,80,40,0.0,20,75000,uniform
60.0,15.5,91.0,0.2052980132450331,2.3472693165978153,1,80,40,0.0,20,100000,uniform
59.0,15.5,90.0,0.2080536912751678,2.3659568430867783,1,80,40,0.0,20,125000,uniform
57.0,16.0,89.0,0.2191780821917808,2.38431603889854,1,80,40,0.0,20,150000,uniform
56.0,16.0,88.0,0.2222222222222222,2.4033937048979066,1,80,40,0.0,20,175000,uniform
55.0,16.0,87.0,0.22535211267605634,2.4234823273111767,1,80,40,0.0,20,200000,uniform
53.0,16.5,86.0,0.23741007194244604,2.4455182551523764,1,80,40,0.0,20,225000,uniform
52.0,16.5,85.0,0.24087591240875914,2.4679664590875183,1,80,40,0.0,20,250000,uniform
50.0,17.0,84.0,0.2537313432835821,2.494461955574139,1,80,40,0.0,20,275000,uniform
49.0,17.0,83.0,0.25757575757575757,2.5191194366080145,1,80,40,0.0,20,300000,uniform
47.0,17.0,81.0,0.265625,2.5471253310545805,1,80,40,0.0,20,325000,uniform
46.0,17.0,80.0,0.2698412698412698,2.5732526662886874,1,80,40,0.0,20,350000,uniform
44.0,17.5,79.0,0.2845528455284553,2.605397780661076,1,80,40,0.0,20,375000,uniform
43.0,17.5,78.0,0.2892561983471074,2.639697557236062,1,80,40,0.0,20,400000,uniform
41.0,17.5,76.0,0.29914529914529914,2.6732796457622743,1,80,40,0.0,20,425000,uniform
39.0,18.0,75.0,0.3157894736842105,2.7103724888993934,1,80,40,0.0,20,450000,uniform
37.0,18.0,73.0,0.32727272727272727,2.7551228721684056,1,80,40,0.0,20,475000,uniform
35.0,18.5,72.0,0.34579439252336447,2.7973389164070332,1,80,40,0.0,20,500000,uniform
33.0,18.5,70.0,0.3592233009708738,2.8466988015882477,1,80,40,0.0,20,525000,uniform
31.0,19.0,69.0,0.38,2.8987193256460655,1,80,40,0.0,20,550000,uniform
28.0,19.5,67.0,0.4105263157894737,2.9600013646330314,1,80,40,0.0,20,575000,uniform
25.0,20.0,65.0,0.4444444444444444,3.0272805099438775,1,80,40,0.0,20,600000,uniform
22.5,20.5,64.0,0.47674418604651164,3.101964186935017,1,80,40,0.0,20,625000,uniform
19.0,21.5,62.0,0.5308641975308642,3.191787312713316,1,80,40,0.0,20,650000,uniform
15.0,22.0,59.0,0.5945945945945946,3.298944359997916,1,80,40,0.0,20,675000,uniform
10.0,23.5,57.0,0.7014925373134329,3.432882467471527,1,80,40,0.0,20,700000,uniform
0.0,0.0,54.0,NaN,3.593158195003567,1,80,40,0.0,20,725000,uniform
0.0,0.0,50.0,NaN,4.902056963685887,1,80,40,0.0,20,750000,uniform
0.0,0.0,47.0,NaN,6.402708389080429,1,80,40,0.0,20,775000,uniform
0.0,0.0,45.0,NaN,7.007690642010572,1,80,40,0.0,20,800000,uniform
0.0,0.0,45.0,NaN,7.154782045216063,1,80,40,0.0,20,825000,uniform
0.0,0.0,45.0,NaN,7.1903264426403615,1,80,40,0.0,20,850000,uniform
0.0,0.0,45.0,NaN,7.199005506960181,1,80,40,0.0,20,875000,uniform
0.0,0.0,45.0,NaN,7.20058774721812,1,80,40,0.0,20,900000,uniform
0.0,0.0,45.0,NaN,7.200763411519555,1,80,40,0.0,20,925000,uniform
0.0,0.0,45.0,NaN,7.200686338770389,1,80,40,0.0,20,950000,uniform
0.0,0.0,45.0,NaN,7.200564771005745,1,80,40,0.0,20,975000,uniform
0.0,0.0,45.0,NaN,7.200435244826692,1,80,40,0.0,20,1000000,uniform
0.0,0.0,45.0,NaN,7.200304023605233,1,80,40,0.0,20,1025000,uniform
0.0,0.0,45.0,NaN,7.200172178972886,1,80,40,0.0,20,1050000,uniform
0.0,0.0,45.0,NaN,7.200039951632654,1,80,40,0.0,20,1075000,uniform
0.0,0.0,45.0,NaN,7.199907473837417,1,80,40,0.0,20,1100000,uniform
0.0,0.0,45.0,NaN,7.19977487129342,1,80,40,0.0,20,1125000,uniform
0.0,0.0,45.0,NaN,7.199642268354923,1,80,40,0.0,20,1150000,uniform
0.0,0.0,45.0,NaN,7.199509782983431,1,80,40,0.0,20,1175000,uniform
0.0,0.0,45.0,NaN,7.199377523426834,1,80,40,0.0,20,1200000,uniform
0.0,0.0,45.0,NaN,7.19924558698705,1,80,40,0.0,20,1225000,uniform
0.0,0.0,45.0,NaN,7.199114060030625,1,80,40,0.0,20,1250000,uniform
0.0,0.0,45.0,NaN,7.1989830186163655,1,80,40,0.0,20,1275000,uniform
0.0,0.0,45.0,NaN,7.19885252938363,1,80,40,0.0,20,1300000,uniform
0.0,0.0,45.0,NaN,7.198722650510243,1,80,40,0.0,20,1325000,uniform
0.0,0.0,45.0,NaN,7.198593432647623,1,80,40,0.0,20,1350000,uniform
0.0,0.0,45.0,NaN,7.198464919788264,1,80,40,0.0,20,1375000,uniform
0.0,0.0,45.0,NaN,7.198337150049674,1,80,40,0.0,20,1400000,uniform
0.0,0.0,45.0,NaN,7.198210156372171,1,80,40,0.0,20,1425000,uniform
0.0,0.0,45.0,NaN,7.198083967134641,1,80,40,0.0,20,1450000,uniform
0.0,0.0,45.0,NaN,7.197958606695261,1,80,40,0.0,20,1475000,uniform
0.0,0.0,45.0,NaN,7.197834095865474,1,80,40,0.0,20,1500000,uniform
0.0,0.0,45.0,NaN,7.197710452324855,1,80,40,0.0,20,1525000,uniform
0.0,0.0,45.0,NaN,7.1975876909850784,1,80,40,0.0,20,1550000,uniform
0.0,0.0,45.0,NaN,7.1974658243083205,1,80,40,0.0,20,1575000,uniform
0.0,0.0,45.0,NaN,7.1973448625873,1,80,40,0.0,20,1600000,uniform
0.0,0.0,45.0,NaN,7.197224814191173,1,80,40,0.0,20,1625000,uniform
0.0,0.0,45.0,NaN,7.197105685782199,1,80,40,0.0,20,1650000,uniform
0.0,0.0,45.0,NaN,7.196987482506828,1,80,40,0.0,20,1675000,uniform
0.0,0.0,45.0,NaN,7.196870208164441,1,80,40,0.0,20,1700000,uniform
0.0,0.0,45.0,NaN,7.196753865356534,1,80,40,0.0,20,1725000,uniform
0.0,0.0,45.0,NaN,7.19663845561915,1,80,40,0.0,20,1750000,uniform
0.0,0.0,45.0,NaN,7.196523979540419,1,80,40,0.0,20,1775000,uniform
0.0,0.0,45.0,NaN,7.196410436864947,1,80,40,0.0,20,1800000,uniform
