time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
25000,159,4.551039264597309,4.3775691466195505,0.17347011797775824,160,20,40,pattern
50000,159,4.550046684411507,4.43771723879516,0.11232944561634728,160,20,40,pattern
75000,159,4.5564016225362804,4.436340199046276,0.12006142349000459,160,20,40,pattern
100000,159,4.557375981197335,4.435054658639463,0.12232132255787231,160,20,40,pattern
125000,159,4.55427491911882,4.437612262317526,0.11666265680129406,160,20,40,pattern
150000,159,4.558302173834806,4.436395901374947,0.12190627245985919,160,20,40,pattern
175000,159,4.563123506285055,4.432307834285903,0.13081567199915156,160,20,40,pattern
200000,159,4.567145795732011,4.429233291126925,0.13791250460508575,160,20,40,pattern
225000,159,4.570957622106484,4.423782562724393,0.1471750593820902,160,20,40,pattern
250000,159,4.573643014595266,4.417376270246919,0.15626674434834698,160,20,40,pattern
275000,159,4.575797744942363,4.414343720112248,0.16145402483011484,160,20,40,pattern
300000,159,4.578646452455201,4.40507033685886,0.17357611559634112,160,20,40,pattern
325000,159,4.580922674898033,4.395693182582899,0.18522949231513408,160,20,40,pattern
350000,159,4.583392155022381,4.3882583901618855,0.19513376486049516,160,20,40,pattern
375000,159,4.586121163451608,4.383429324662338,0.20269183878926977,160,20,40,pattern
400000,159,4.588491749748733,4.381687848978874,0.20680390076985855,160,20,40,pattern
425000,159,4.590393518149025,4.371742726464813,0.21865079168421175,160,20,40,pattern
450000,159,4.592194661899805,4.36772124601368,0.22447341588612524,160,20,40,pattern
475000,159,4.5941976943392255,4.348690006484954,0.24550768785427124,160,20,40,pattern
500000,159,4.594424431671323,4.340423206117581,0.2540012255537416,160,20,40,pattern
525000,159,4.596904866890732,4.327381695968356,0.2695231709223762,160,20,40,pattern
550000,159,4.603287392477469,4.320695582020871,0.28259181045659787,160,20,40,pattern
575000,159,4.60589989717595,4.307855931037823,0.29804396613812756,160,20,40,pattern
600000,159,4.609641328587842,4.280937836597201,0.3287034919906411,160,20,40,pattern
625000,159,4.619684195549508,4.263648163140639,0.35603603240886894,160,20,40,pattern
650000,159,4.630844606904435,4.245920971870718,0.38492363503371685,160,20,40,pattern
675000,159,4.646793837981778,4.2171839204733175,0.42960991750846045,160,20,40,pattern
700000,159,4.672893607161864,4.17887734018231,0.49401626697955425,160,20,40,pattern
725000,159,4.701649949579196,4.135559544560296,0.5660904050189002,160,20,40,pattern
750000,159,4.729694664628147,4.079721858633139,0.6499728059950076,160,20,40,pattern
775000,159,4.76737594779357,4.000456026049811,0.7669199217437592,160,20,40,pattern
800000,160,4.852809305488112,3.8560660963229383,0.9967432091651736,160,20,40,pattern
825000,160,4.924019736758206,3.701396157427881,1.222623579330325,160,20,40,pattern
850000,160,5.001512008458803,3.4935230993605715,1.507988909098232,160,20,40,pattern
875000,160,5.085321479577728,3.214810632348874,1.870510847228854,160,20,40,pattern
900000,160,5.159438747350405,2.7799344662273735,2.379504281123032,160,20,40,pattern
925000,160,5.270302741307679,2.16001267891019,3.1102900623974894,160,20,40,pattern
950000,160,5.5070484180618315,0.04515755297801931,5.461890865083812,160,20,40,pattern
975000,160,6.245717478090918,0.04990858141179239,6.195808896679125,160,20,40,pattern
1000000,160,6.499779828072761,0.050716166355031324,6.449063661717729,160,20,40,pattern
1025000,160,6.590599918349341,0.050375398740305125,6.540224519609035,160,20,40,pattern
1050000,160,6.7066303946177985,0.05050194090041411,6.656128453717384,160,20,40,pattern
1075000,160,6.815678978753846,0.05091150475286816,6.764767474000978,160,20,40,pattern
