time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
25000,79,2.2998311761771593,2.2816237324234674,0.018207443753691877,80,40,20,uniform
50000,78,2.314761803794781,2.2989588265556447,0.01580297723913615,80,40,20,uniform
75000,77,2.330787092240036,2.3170752682420823,0.013711823997953676,80,40,20,uniform
100000,75,2.336889672757247,2.3046435322738192,0.032246140483427777,80,40,20,uniform
125000,74,2.3583412206843053,2.328431701542404,0.02990951914190143,80,40,20,uniform
150000,73,2.3794798075474843,2.35276402904521,0.026715778502274468,80,40,20,uniform
175000,72,2.4015076765369425,2.3790486850426205,0.022458991494322067,80,40,20,uniform
200000,71,2.4226917348913206,2.4062395078166023,0.016452227074718273,80,40,20,uniform
225000,69,2.433720496370575,2.402482879719034,0.0312376166515409,80,40,20,uniform
250000,68,2.461128132449768,2.437447882955217,0.023680249494550942,80,40,20,uniform
275000,67,2.4901721339666048,2.4681904433735053,0.0219816905930994,80,40,20,uniform
300000,65,2.5063882171919882,2.4693995370178747,0.0369886801741135,80,40,20,uniform
325000,64,2.539196628272954,2.5135923715486252,0.025604256724328867,80,40,20,uniform
350000,63,2.5718938298317617,2.5506737986148327,0.02122003121692906,80,40,20,uniform
375000,61,2.596537830923583,2.5642192150017524,0.032318615921830496,80,40,20,uniform
400000,60,2.637029595741301,2.6104877287996873,0.026541866941613534,80,40,20,uniform
425000,58,2.6657530486513807,2.631633565589668,0.03411948306171286,80,40,20,uniform
450000,57,2.7101104281729156,2.684847830223137,0.025262597949778698,80,40,20,uniform
475000,55,2.7508450723627127,2.716526729330592,0.03431834303212078,80,40,20,uniform
500000,53,2.7912749371002232,2.7529397469914287,0.03833519010879449,80,40,20,uniform
525000,51,2.838912503993525,2.792539867321901,0.046372636671623724,80,40,20,uniform
550000,49,2.8887879621649275,2.8442811354105335,0.04450682675439399,80,40,20,uniform
575000,47,2.9515514662191467,2.909839413438837,0.04171205278030987,80,40,20,uniform
600000,45,3.0214379122232327,2.9840791533619626,0.03735875886127005,80,40,20,uniform
625000,43,3.1001338623893644,3.0712589601755518,0.028874902213812614,80,40,20,uniform
650000,40,3.1876923486155615,3.1574428476593477,0.030249500956213815,80,40,20,uniform
675000,37,3.2958837034732076,3.27017171589584,0.0257119875773677,80,40,20,uniform
700000,33,3.4278102962115216,3.4056257816135944,0.02218451459792714,80,40,20,uniform
725000,28,3.589581147901394,3.5745657774331048,0.01501537046828938,80,40,20,uniform
750000,0,4.902056963685887,4.902056963685887,0.0,80,40,20,uniform
775000,0,6.402708389080429,6.402708389080429,0.0,80,40,20,uniform
800000,0,7.007690642010572,7.007690642010572,0.0,80,40,20,uniform
825000,0,7.154782045216063,7.154782045216063,0.0,80,40,20,uniform
850000,0,7.1903264426403615,7.1903264426403615,0.0,80,40,20,uniform
875000,0,7.199005506960181,7.199005506960181,0.0,80,40,20,uniform
900000,0,7.20058774721812,7.20058774721812,0.0,80,40,20,uniform
925000,0,7.200763411519555,7.200763411519555,0.0,80,40,20,uniform
950000,0,7.200686338770389,7.200686338770389,0.0,80,40,20,uniform
975000,0,7.200564771005745,7.200564771005745,0.0,80,40,20,uniform
1000000,0,7.200435244826692,7.200435244826692,0.0,80,40,20,uniform
1025000,0,7.200304023605233,7.200304023605233,0.0,80,40,20,uniform
1050000,0,7.200172178972886,7.200172178972886,0.0,80,40,20,uniform
1075000,0,7.200039951632654,7.200039951632654,0.0,80,40,20,uniform
1100000,0,7.199907473837417,7.199907473837417,0.0,80,40,20,uniform
1125000,0,7.19977487129342,7.19977487129342,0.0,80,40,20,uniform
1150000,0,7.199642268354923,7.199642268354923,0.0,80,40,20,uniform
1175000,0,7.199509782983431,7.199509782983431,0.0,80,40,20,uniform
1200000,0,7.199377523426834,7.199377523426834,0.0,80,40,20,uniform
1225000,0,7.19924558698705,7.19924558698705,0.0,80,40,20,uniform
1250000,0,7.199114060030625,7.199114060030625,0.0,80,40,20,uniform
1275000,0,7.1989830186163655,7.1989830186163655,0.0,80,40,20,uniform
1300000,0,7.19885252938363,7.19885252938363,0.0,80,40,20,uniform
1325000,0,7.198722650510243,7.198722650510243,0.0,80,40,20,uniform
1350000,0,7.198593432647623,7.198593432647623,0.0,80,40,20,uniform
1375000,0,7.198464919788264,7.198464919788264,0.0,80,40,20,uniform
1400000,0,7.198337150049674,7.198337150049674,0.0,80,40,20,uniform
1425000,0,7.198210156372171,7.198210156372171,0.0,80,40,20,uniform
1450000,0,7.198083967134641,7.198083967134641,0.0,80,40,20,uniform
1475000,0,7.197958606695261,7.197958606695261,0.0,80,40,20,uniform
1500000,0,7.197834095865474,7.197834095865474,0.0,80,40,20,uniform
1525000,0,7.197710452324855,7.197710452324855,0.0,80,40,20,uniform
1550000,0,7.1975876909850784,7.1975876909850784,0.0,80,40,20,uniform
1575000,0,7.1974658243083205,7.1974658243083205,0.0,80,40,20,uniform
1600000,0,7.1973448625873,7.1973448625873,0.0,80,40,20,uniform
1625000,0,7.197224814191173,7.197224814191173,0.0,80,40,20,uniform
1650000,0,7.197105685782199,7.197105685782199,0.0,80,40,20,uniform
1675000,0,7.196987482506828,7.196987482506828,0.0,80,40,20,uniform
1700000,0,7.196870208164441,7.196870208164441,0.0,80,40,20,uniform
1725000,0,7.196753865356534,7.196753865356534,0.0,80,40,20,uniform
1750000,0,7.19663845561915,7.19663845561915,0.0,80,40,20,uniform
1775000,0,7.196523979540419,7.196523979540419,0.0,80,40,20,uniform
1800000,0,7.196410436864947,7.196410436864947,0.0,80,40,20,uniform
1825000,0,7.1962978265861235,7.1962978265861235,0.0,80,40,20,uniform
1850000,0,7.196186147029573,7.196186147029573,0.0,80,40,20,uniform
1875000,0,7.1960753959265,7.1960753959265,0.0,80,40,20,uniform
1900000,0,7.195965570479533,7.195965570479533,0.0,80,40,20,uniform
1925000,0,7.195856667421622,7.195856667421622,0.0,80,40,20,uniform
1950000,0,7.195748683069039,7.195748683069039,0.0,80,40,20,uniform
1975000,0,7.195641613367935,7.195641613367935,0.0,80,40,20,uniform
2000000,0,7.1955354539369685,7.1955354539369685,0.0,80,40,20,uniform
2025000,0,7.195430200104988,7.195430200104988,0.0,80,40,20,uniform
2050000,0,7.195325846944937,7.195325846944937,0.0,80,40,20,uniform
2075000,0,7.195222389304311,7.195222389304311,0.0,80,40,20,uniform
2100000,0,7.1951198218327175,7.1951198218327175,0.0,80,40,20,uniform
2125000,0,7.195018139006286,7.195018139006286,0.0,80,40,20,uniform
2150000,0,7.194917335149764,7.194917335149764,0.0,80,40,20,uniform
2175000,0,7.194817404456275,7.194817404456275,0.0,80,40,20,uniform
